t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
1.0,24,adjusting,0.833,travel,1,0,0,0,0.442,0,2.056,78.9,128.3,128.3,78.9,49.5,travel_path:adjusting
1.0,27,adjusting,0.2,travel,1,0,0,0,0.366,0,1.948,195.4,150.5,150.5,164.6,44.9,travel_path:adjusting
1.0,29,turning,0.033,travel,1,0,0,0,0.052,0,1.41,355.2,329.8,329.8,4.8,25.4,travel_path:turning
1.0,30,turning,0.133,travel,1,0,0,0,0.986,0,2.281,289.1,269.9,269.9,70.9,19.1,travel_path:turning
1.0,34,turning,0.933,travel,1,0,0,0,0.378,0,0.754,62.2,335.7,335.7,62.2,86.5,travel_path:turning
1.0,35,turning,0.1,travel,1,0,0,0,0.243,0,1.652,13.8,56.5,56.5,13.8,42.7,travel_path:turning
1.0,36,adjusting,0.267,travel,1,0,0,0,0.39,0,1.751,121.0,185.2,185.2,121.0,64.2,travel_path:adjusting
1.0,38,adjusting,0.767,travel,1,0,0,0,0.12,0,0.776,121.1,52.0,52.0,121.1,69.1,travel_path:adjusting
1.0,39,turning,0.133,travel,1,0,0,0,0.515,0,4.294,217.8,112.3,112.3,142.2,105.5,travel_path:turning
1.5,0,adjusting,0.967,travel,1,0,0,0,0.269,0,1.05,93.3,308.7,308.7,93.3,144.6,travel_path:adjusting
1.5,1,adjusting,1.167,travel,1,0,0,0,0.401,0,1.881,7.5,214.6,214.6,7.5,153.0,travel_path:adjusting
1.5,4,adjusting,0.167,travel,1,0,0,0,0.421,0,1.712,304.8,243.2,243.2,55.2,61.6,travel_path:adjusting
1.5,5,adjusting,0.333,travel,1,0,0,0,0.345,0,1.269,313.6,346.9,346.9,46.4,33.2,travel_path:adjusting
1.5,8,turning,0.333,travel,1,0,0,0,0.309,0,1.742,14.2,312.6,312.6,14.2,61.6,travel_path:turning
1.5,9,adjusting,0.667,travel,1,0,0,0,0.46,0,0.634,16.5,59.5,59.5,16.5,43.0,travel_path:adjusting
1.5,10,adjusting,0.867,travel,1,0,0,0,0.417,0,2.282,358.8,241.7,241.7,1.2,117.1,travel_path:adjusting
1.5,11,turning,0.333,travel,1,0,0,0,0.426,0,1.521,40.3,324.0,324.0,40.3,76.4,travel_path:turning
1.5,12,adjusting,0.333,travel,1,0,0,0,0.366,0,1.66,220.5,291.6,291.6,139.5,71.1,travel_path:adjusting
1.5,13,turning,0.567,travel,1,0,0,0,0.494,0,2.375,119.5,142.8,142.8,119.5,23.3,travel_path:turning
1.5,14,adjusting,0.8,travel,1,0,0,0,0.195,0,0.973,44.6,44.6,44.6,44.6,0.0,travel_path:adjusting
1.5,16,forming_up,0.133,travel,1,0,0,0,0.296,0,1.592,213.1,201.2,201.2,146.9,11.9,travel_path:forming_up
1.5,17,adjusting,0.467,travel,1,0,0,0,0.312,0,4.564,204.1,85.9,85.9,155.9,118.2,travel_path:adjusting
1.5,18,turning,0.467,travel,1,0,0,0,0.244,0,0.487,174.4,33.4,33.4,174.4,141.1,travel_path:turning
1.5,20,turning,0.533,travel,1,0,0,0,0.419,0,0.855,108.5,75.0,75.0,108.5,33.5,travel_path:turning
1.5,21,adjusting,1.067,travel,1,0,0,0,0.448,0,0.84,25.9,78.9,78.9,25.9,53.0,travel_path:adjusting
1.5,22,turning,0.167,travel,1,0,0,0,0.578,0,2.163,145.4,197.2,197.2,145.4,51.9,travel_path:turning
1.5,24,adjusting,1.333,travel,1,0,0,0,0.22,0,2.755,133.9,281.0,281.0,133.9,147.1,travel_path:adjusting
1.5,26,adjusting,1.367,travel,1,0,0,0,0.292,0,1.596,196.2,289.6,289.6,163.8,93.4,travel_path:adjusting
1.5,27,adjusting,0.7,travel,0,0,0,0,0.148,0,0.411,103.8,0.0,322.7,103.8,141.0,travel_path:adjusting
1.5,29,turning,0.533,travel,1,0,0,0,0.045,0,0.703,291.9,18.8,18.8,68.1,86.9,travel_path:turning
1.5,31,adjusting,0.533,travel,1,0,0,0,0.456,0,3.769,233.4,116.1,116.1,126.6,117.4,travel_path:adjusting
1.5,34,adjusting,0.233,travel,1,0,0,0,0.301,0,1.521,353.6,227.5,227.5,6.4,126.2,travel_path:adjusting
1.5,35,turning,0.6,travel,1,0,0,0,0.232,0,1.14,77.1,50.9,50.9,77.1,26.1,travel_path:turning
1.5,36,adjusting,0.767,travel,1,0,0,0,0.361,0,0.591,139.3,31.1,31.1,139.3,108.2,travel_path:adjusting
1.5,37,turning,0.367,travel,1,0,0,0,0.671,0,0.627,69.5,206.5,206.5,69.5,137.0,travel_path:turning
1.5,38,adjusting,1.267,travel,1,0,0,0,0.183,0,4.319,155.8,280.2,280.2,155.8,124.5,travel_path:adjusting
1.5,39,turning,0.633,travel,1,0,0,0,0.462,0,0.724,238.9,68.5,68.5,121.1,170.4,travel_path:turning
2.0,0,adjusting,1.467,travel,1,0,0,0,0.228,0,0.692,99.7,339.6,339.6,99.7,120.2,travel_path:adjusting
2.0,3,adjusting,1.467,travel,1,0,0,0,0.373,0,1.555,124.4,62.5,62.5,124.4,61.9,travel_path:adjusting
2.0,4,adjusting,0.667,travel,1,0,0,0,0.23,0,0.968,335.3,310.9,310.9,24.7,24.4,travel_path:adjusting
2.0,5,adjusting,0.833,travel,1,0,0,0,0.107,0,1.314,323.3,221.5,221.5,36.7,101.9,travel_path:adjusting
2.0,8,turning,0.333,travel,1,0,0,0,0.249,0,2.818,76.5,108.3,108.3,76.5,31.8,travel_path:turning
2.0,11,turning,0.2,travel,1,0,0,0,0.328,0,0.791,49.9,180.8,180.8,49.9,130.9,travel_path:turning
2.0,12,adjusting,0.833,travel,1,0,0,0,0.308,0,2.154,238.9,314.1,314.1,121.1,75.3,travel_path:adjusting
2.0,13,turning,0.333,travel,0,0,0,0,0.341,0,0.297,61.6,0.0,306.8,61.6,114.8,travel_path:turning
2.0,14,adjusting,1.3,travel,1,0,0,0,0.364,0,1.999,14.0,140.8,140.8,14.0,126.8,travel_path:adjusting
2.0,16,turning,0.5,travel,1,0,0,0,0.2,0,1.168,206.1,277.7,277.7,153.9,71.6,travel_path:turning
2.0,17,adjusting,0.967,travel,1,0,0,0,0.072,0,1.31,210.2,147.2,147.2,149.8,63.0,travel_path:adjusting
2.0,18,turning,0.233,travel,1,0,0,0,0.357,0,1.509,142.5,49.0,49.0,142.5,93.5,travel_path:turning
2.0,19,adjusting,1.0,travel,1,0,0,0,0.335,0,1.232,126.7,241.4,241.4,126.7,114.7,travel_path:adjusting
2.0,20,turning,0.267,travel,1,0,0,0,0.361,0,1.617,133.7,184.5,184.5,133.7,50.9,travel_path:turning
2.0,22,turning,0.667,travel,1,0,0,0,0.575,0,4.002,152.4,100.9,100.9,152.4,51.4,travel_path:turning
2.0,24,adjusting,1.833,travel,1,0,0,0,0.058,0,1.133,201.1,358.0,358.0,158.9,156.9,travel_path:adjusting
2.0,26,adjusting,1.867,travel,1,0,0,0,0.101,0,0.676,190.1,189.8,189.8,169.9,0.3,travel_path:adjusting
