t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
5.0,28,turning,0.333,unit,0,1,1,0,0.284,1,0.745,14.1,0.0,121.5,14.1,107.4,plant_dress_turn
5.5,12,turning,0.1,travel,1,0,1,0,0.287,1,1.886,338.9,279.7,279.7,21.1,59.2,travel_path:turning
5.5,26,turning,0.1,travel,1,0,1,0,0.308,1,1.683,338.9,244.5,244.5,21.1,94.4,travel_path:turning
5.5,27,turning,0.5,unit,0,1,1,1,0.34,1,0.288,21.1,0.0,229.8,21.1,151.2,plant_dress_turn
6.0,11,turning,0.2,unit,0,1,1,1,0.178,1,0.236,28.1,0.0,76.2,28.1,48.1,plant_dress_turn
6.0,25,forming_up,0.033,travel,1,0,1,0,0.226,1,0.909,15.0,2.5,2.5,15.0,12.5,travel_path:forming_up
6.0,32,turning,0.2,unit,0,1,1,0,0.396,1,0.725,331.9,0.0,239.7,28.1,92.2,plant_dress_turn
6.5,23,turning,0.167,travel,1,0,1,0,0.172,1,1.169,338.9,283.2,283.2,21.1,55.7,travel_path:turning
6.5,32,turning,0.7,unit,0,1,1,1,0.396,1,0.248,296.7,0.0,232.1,63.3,64.7,plant_dress_turn
7.0,8,turning,0.2,unit,0,1,1,1,0.402,1,0.55,28.1,0.0,92.5,28.1,64.3,plant_dress_turn
7.0,22,turning,0.333,travel,1,0,1,0,0.446,1,0.919,28.1,163.1,163.1,28.1,135.0,travel_path:turning
7.5,6,turning,0.1,travel,1,0,1,0,0.4,1,1.631,338.9,284.1,284.1,21.1,54.8,travel_path:turning
7.5,13,turning,0.1,travel,1,0,1,0,0.369,1,1.123,21.1,102.1,102.1,21.1,81.0,travel_path:turning
7.5,22,turning,0.833,unit,0,1,1,1,0.446,1,0.352,7.0,0.0,193.7,7.0,173.4,plant_dress_turn
7.5,27,turning,0.1,travel,1,0,1,0,0.34,1,1.614,21.1,105.3,105.3,21.1,84.2,travel_path:turning
8.0,5,turning,0.333,unit,0,1,1,1,0.183,1,0.56,14.1,0.0,64.2,14.1,50.2,plant_dress_turn
